Element,K_alpha1,K_alpha2,K_beta1,L_alpha1,L_alpha2,L_beta1,L_beta2,L_gamma1,M_alpha1,,,,
65  Tb,44481.6,43744.1,50382,6272.8,6238,6978,7366.7,8102,1240,44482,44457,44507,valid
66  Dy,45998.4,45207.8,52119,6495.2,6457.7,7247.7,7635.7,8418.8,1293,45998,45973,46023,valid
67  Ho,47546.7,46699.7,53877,6719.8,6679.5,7525.3,7911,8747,1348,47547,47522,47572,valid
68  Er,49127.7,48221.1,55681,6948.7,6905,7810.9,8189,9089,1406,49128,49103,49153,valid
69  Tm,50741.6,49772.6,57517,7179.9,7133.1,8101,8468,9426,1462,50742,50717,50767,valid
70  Yb,52388.9,51354,59370,7415.6,7367.3,8401.8,8758.8,9780.1,1521.4,52389,52364,52414,valid
71  Lu,54069.8,52965,61283,7655.5,7604.9,8709,9048.9,10143.4,1581.3,54070,54045,54095,valid
72  Hf,55790.2,54611.4,63234,7899,7844.6,9022.7,9347.3,10515.8,1644.6,55790,55765,55815,valid
73  Ta,57532,56277,65223,8146.1,8087.9,9343.1,9651.8,10895.2,1710,57532,57507,57557,valid
74  W,59318.24,57981.7,67244.3,8397.6,8335.2,9672.35,9961.5,11285.9,1775.4,59318,59293,59343,valid
75  Re,61140.3,59717.9,69310,8652.5,8586.2,10010,10275.2,11685.4,1842.5,61140,61115,61165,valid
76  Os,63000.5,61486.7,71413,8911.7,8841,10355.3,10598.5,12095.3,1910.2,63001,62976,63026,valid
77  Ir,64895.6,63286.7,73560.8,9175.1,9099.5,10708.3,10920.3,12512.6,1979.9,64896,64871,64921,valid
78  Pt,66832,65112,75748,9442.3,9361.8,11070.7,11250.5,12942,2050.5,66832,66807,66857,valid
79  Au,68803.7,66989.5,77984,9713.3,9628,11442.3,11584.7,13381.7,2122.9,68804,68779,68829,valid
80  Hg,70819,68895,80253,9988.8,9897.6,11822.6,11924.1,13830.1,2195.3,70819,70794,70844,valid
81  Tl,72871.5,70831.9,82576,10268.5,10172.8,12213.3,12271.5,14291.5,2270.6,72872,72847,72897,valid
82  Pb,74969.4,72804.2,84936,10551.5,10449.5,12613.7,12622.6,14764.4,2345.5,74969,74944,74994,valid
83  Bi,77107.9,74814.8,87343,10838.8,10730.91,13023.5,12979.9,15247.7,2422.6,77108,77083,77133,valid
84  Po,79290,76862,89800,11130.8,11015.8,13447,13340.4,15744,—,79290,79265,79315,valid
85  At,81520,78950,92300,11426.8,11304.8,13876,—,16251,—,81520,81495,81545,valid
86  Rn,83780,81070,94870,11727,11597.9,14316,—,16770,—,83780,83755,83805,valid
87  Fr,86100,83230,97470,12031.3,11895,14770,14450,17303,—,86100,86075,86125,valid
88  Ra,88470,85430,100130,12339.7,12196.2,15235.8,14841.4,17849,—,88470,88445,88495,valid
89  Ac,90884,87670,102850,12652,12500.8,15713,—,18408,—,90884,90859,90909,valid
90  Th,93350,89953,105609,12968.7,12809.6,16202.2,15623.7,18982.5,2996.1,93350,93325,93375,valid
91  Pa,95868,92287,108427,13290.7,13122.2,16702,16024,19568,3082.3,95868,95843,95893,valid
92  U,98439,94665,111300,13614.7,13438.8,17220,16428.3,20167.1,3170.8,98439,98414,98464,invalid
93  Np,—,—,—,13944.1,13759.7,17750.2,16840,20784.8,—,,,,
94  Pu,—,—,—,14278.6,14084.2,18293.7,17255.3,21417.3,—,,,,
95  Am,—,—,—,14617.2,14411.9,18852,17676.5,22065.2,—,,,,
